title,price,kilometer,shangpai-date,chepai-location,standard,change-speed
奥迪-奥迪A4L 2019款 40 TFSI 进取型,22.50万,9.16万公里,3年1个月,苏州,国六,自动
奥迪-奥迪Q2L 2020款 35 TFSI 进取动感型,13.88万,1.61万公里,1年2个月,北京,国六,自动
奥迪-奥迪A7L 2012款 TFSI 标准型,14.10万,13.51万公里,9年1个月,郑州,国四,自动
奥迪-奥迪A3 2014款 Sportback 35 TFSI 自动进取型,9.20万,15.99万公里,7年5个月,北京,国四,自动
奥迪-奥迪A7(进口) 2016款 3.0T allroad quattro,37.80万,10.55万公里,4年4个月,北京,国五,自动
奥迪-奥迪A4L 2011款 2.0 TFSI 舒适型,8.98万,11.80万公里,10年9个月,广州,国四,自动
奥迪-奥迪A7L 2021款 55 TFSI quattro 尊享动感型,43.32万,3.27万公里,1年3个月,北京,国六,自动
奥迪-奥迪A7L 2014款 30 FSI 豪华型,21.00万,8.73万公里,6年6个月,北京,国五,自动
奥迪-奥迪A4L 2015款 30 TFSI 自动舒适型,13.80万,6.06万公里,7年,凉山,国五,自动
奥迪-奥迪A4L 2018款 Plus 40 TFSI 运动型,17.98万,7.95万公里,4年8个月,保山,国五,自动
奥迪-奥迪A7L 2014款 TFSI 标准型,14.98万,11.21万公里,7年6个月,苏州,国四,自动
奥迪-奥迪Q5 2018款 Plus 40 TFSI 技术型,22.98万,9.29万公里,4年,北京,国五,自动
奥迪-奥迪S4 2020款 S4 3.0TFSI,51.80万,0.46万公里,1年7个月,北京,国六,自动
奥迪-奥迪A4L 2017款 35 TFSI 自动标准型,15.50万,9.53万公里,6年2个月,北京,国五,自动
奥迪-奥迪A6 2013款 A6L 45 TFSI quattro舒适型,30.50万,13.83万公里,7年11个月,北京,国四,自动
奥迪-奥迪A7L 2009款 2.0 TFSI 自动标准型,6.88万,13.77万公里,12年11个月,北京,国四,自动
奥迪-奥迪A4L 2018款 40 TFSI 时尚型,17.50万,5.51万公里,5年3个月,贵阳,国五,自动
奥迪-奥迪A4L 2018款 Plus 40 TFSI 进取型,16.98万,11.01万公里,4年10个月,北京,国五,自动
奥迪-奥迪A4L 2013款 35 TFSI 自动标准型,9.98万,8.89万公里,8年7个月,北京,国四,自动
奥迪-奥迪Q8 2013款 35 TFSI 进取型,16.50万,12.55万公里,9年4个月,清远,国四,自动
奥迪-奥迪Q3 2018款 30 TFSI 运动型,14.60万,3.71万公里,4年,北京,国五,自动
奥迪-奥迪Q2L 2016款 35 TFSI 时尚致雅型,14.95万,1.60万公里,3年2个月,北京,国五,自动
奥迪-奥迪A4L 2015款 35 TFSI 自动标准型,13.50万,6.40万公里,7年1个月,北京,国五,自动
奥迪-奥迪A7L 2015款 TFSI 百万纪念智领型,18.50万,3.67万公里,7年,武汉,国五,自动
奥迪-奥迪A6 2013款 A6L 45 TFSI quattro舒适型,25.98万,12.53万公里,8年6个月,北京,国四,自动
奥迪-奥迪A5 2021款 Sportback 40 TFSI 时尚动感型,31.98万,0.79万公里,8个月,北京,国六,自动
奥迪-奥迪A7L 2019款 45 TFSI 臻选动感型,33.50万,2.91万公里,2年1个月,武汉,国六,自动
奥迪-奥迪Q8 2020款 55 TFSI quattro S line运动型,61.80万,7.44万公里,1年10个月,北京,国六,自动
