change-speed,chepai-location,kilometer,price,shangpai-date,standard,title
自动,成都,0.51万公里,13.60,4个月,国六,领克-领克07 2021款 1.5T Shero粉色特别版
自动,衡水,7.91万公里,11.00,4年,国五,领克-领克01 2018款 2.0T 两驱耀Pro版
,,,,,,
自动,苏州,2.27万公里,14.50,1年4个月,国六,领克-领克05 2020款 2.0TD 两驱耀Halo
,,,,,,
自动,成都,4.87万公里,10.80,4年4个月,国五,领克-领克01 2018款 2.0T 两驱型Pro版
自动,天门,3.27万公里,11.30,3年4个月,国五,领克-领克01 2018款 2.0T 四驱劲Pro版
,,,,,,
自动,宁波,3.85万公里,9.30,3年9个月,国五,领克-领克02 2016款 1.5T DCT两驱耀Pro版
自动,郑州,1.01万公里,10.98,1年6个月,国六,领克-领克07 2020款 1.5T 耀Halo
自动,沧州,1.69万公里,15.00,1年3个月,国六,领克-领克03 2019款 03+ 2.0TD 自动驭风版
,,,,,,
自动,温州,2.38万公里,11.30,2年6个月,国六,领克-领克01 2019款 2.0T 两驱耀Pro版
,,,,,,
,,,,,,
自动,贵阳,0.36万公里,30.00,2个月,国六,领克-领克09新能源 2021款 2.0T PHEV Halo 六座
自动,邢台,4.85万公里,10.20,3年3个月,国五,领克-领克03 2016款 1.5TD DCT劲Pro版
,,,,,,
自动,杭州,0.23万公里,12.20,8个月,国六,领克-领克02 2021款 2.0TD 自动两驱耀 冠军版
自动,南充,5.35万公里,11.68,2年11个月,国五,领克-领克01 2018款 2.0T 两驱型Pro版
自动,东莞,0.01万公里,12.20,1个月,国六,领克-领克07 2020款 1.5T 耀Halo
自动,承德,2.36万公里,12.50,2年4个月,国六,领克-领克03 2019款 2.0TD 自动劲Pro版
,,,,,,
自动,合肥,2.71万公里,16.58,1年9个月,国六,领克-领克05 2020款 2.0TD 四驱劲Halo
自动,娄底,0.33万公里,10.88,4个月,国六,领克-领克07 2021款 1.5T Shero粉色特别版
自动,成都,1.13万公里,12.00,2年1个月,国六,领克-领克03 2020款 2.0TD 自动劲Pro版
自动,常德,1.50万公里,12.50,8个月,国六,领克-领克03 2022款 1.5TD DCT劲Pro
,,,,,,
自动,佛山,0.79万公里,18.00,9个月,国六,领克-领克05 2020款 2.0TD 两驱耀Halo
自动,成都,8.53万公里,13.50,2年4个月,国六,领克-领克01 2019款 2.0T 两驱纯版
自动,绵阳,3.36万公里,10.88,2年1个月,国六,领克-领克03 2019款 1.5TD DCT劲版
自动,武汉,0.83万公里,11.50,5个月,国六,领克-领克07 2020款 1.5T 耀Halo
,,,,,,
自动,衡阳,7.41万公里,9.50,1年10个月,国六,领克-领克03 2019款 1.5TD DCT劲Pro版
自动,东莞,0.78万公里,10.30,1年2个月,国六,领克-领克03 2021款 1.5TD DCT劲 冠军版
自动,广州,3.42万公里,15.60,2年,国六,领克-领克03 2020款 03+ 2.0TD 自动驭风版
自动,温州,2.28万公里,14.30,1年10个月,国六,领克-领克05 2020款 2.0TD 两驱耀Halo
自动,昆明,4.02万公里,10.30,3年4个月,国五,领克-领克02 2016款 1.5T DCT两驱耀Pro版
,,,,,,
自动,绵阳,3.25万公里,12.58,2年2个月,国六,领克-领克01 2019款 2.0T 两驱耀Pro版
自动,南宁,5.36万公里,12.00,3年5个月,国五,领克-领克01 2018款 2.0T 两驱型Pro版
自动,深圳,1.24万公里,15.50,11个月,国六,领克-领克05 2020款 2.0TD 两驱耀Halo
自动,中山,3.48万公里,11.60,3年3个月,国五,领克-领克03 2016款 1.5TD DCT劲Pro版
自动,郑州,1.47万公里,10.88,1年7个月,国六,领克-领克03 2019款 1.5TD DCT劲版
,,,,,,
自动,宁波,4.54万公里,11.00,4年2个月,国五,领克-领克01 2018款 2.0T 两驱型Pro版
自动,杭州,1.93万公里,11.80,1年5个月,国六,领克-领克03 2021款 2.0TD 自动劲 冠军版
自动,大连,3.72万公里,15.80,2年4个月,国六,领克-领克03 2019款 03+ 2.0TD 自动驭风版
,,,,,,
