change-speed,kilometer,price,shangpai-date,standard,title
0,1.58,22.0,1.3333333333333333,6,49
1,3.77,4.0,5.083333333333333,5,42
1,4.59,4.2,2.6666666666666665,5,43
0,2.59,16.3,3.1666666666666665,5,14
0,6.88,21.8,8.166666666666666,4,36
1,10.66,1.96,9.416666666666666,4,37
1,1.4,8.2,2.3333333333333335,5,37
0,3.52,36.0,5.583333333333333,5,5
1,4.78,3.8,4.083333333333333,5,42
0,1.73,9.6,1.0833333333333333,6,42
1,8.7,1.2,1.4166666666666667,4,3
1,6.65,2.8,7.583333333333333,4,16
1,5.44,4.5,5.583333333333333,5,28
0,12.77,11.5,1.3333333333333333,5,14
0,8.03,21.0,4.083333333333333,5,39
0,6.04,16.2,6.083333333333333,5,14
0,13.08,3.0,9.416666666666666,4,19
0,18.9,6.8,7.083333333333333,4,37
0,11.95,7.5,6.5,5,18
0,8.51,14.5,4.5,5,49
0,3.39,8.5,3.1666666666666665,6,23
0,3.83,6.48,3.0833333333333335,5,17
0,4.17,27.5,5.0,4,14
0,5.06,8.5,3.0833333333333335,5,28
1,11.33,2.3,5.5,4,29
0,9.31,25.0,3.75,5,1
0,14.94,14.6,5.333333333333333,5,49
0,1.71,17.0,1.3333333333333333,6,49
0,1.62,7.5,1.1666666666666667,6,42
0,37.28,12.0,1.3333333333333333,4,14
0,4.95,19.6,2.1666666666666665,6,17
0,7.97,9.88,5.083333333333333,5,36
0,12.27,15.2,9.583333333333334,4,1
0,4.12,4.98,2.0833333333333335,5,8
0,5.94,5.2,5.083333333333333,5,42
1,5.81,4.28,4.0,5,3
0,5.31,30.7,4.083333333333333,5,39
0,10.84,3.7,1.6666666666666665,4,17
0,5.91,12.5,9.083333333333334,4,17
0,17.02,5.5,7.166666666666667,5,23
0,8.46,11.6,7.166666666666667,5,49
0,4.5,6.7,5.5,5,38
1,8.01,4.5,5.083333333333333,5,3
1,4.86,1.99,6.166666666666667,5,11
0,6.23,16.2,4.5,5,49
1,26.09,0.45,8.75,4,12
0,3.81,6.28,4.25,5,42
0,11.12,12.98,6.0,5,14
0,20.38,15.8,6.5,5,4
0,5.06,18.88,3.1666666666666665,5,14
