change-speed,chepai-location,kilometer,price,shangpai-date,standard,title
自动,莆田,8.14万公里,7.20,4年7个月,国五,日产-轩逸 2017款 1.7XV CVT智享版
自动,北京,16.83万公里,7.70,5年5个月,国五,日产-天籁 2017款 2.0L XL舒适版
自动,大连,4.16万公里,7.88,3年,国五,日产-骐达TIIDA 2017款 1.7L CVT酷动版
,,,,,,
手动,郑州,1.11万公里,2.50,9年7个月,国四,日产-玛驰 2010款 1.5L 手动易型版
自动,北京,5.55万公里,39.70,4年8个月,国五,日产-途乐 2016款 4.0L （平行进口车）
自动,惠州,12.20万公里,4.98,10年4个月,国四,日产-轩逸 2009款 2.0XL CVT豪华版
,,,,,,
自动,郑州,1.85万公里,15.98,3年4个月,国五,日产-奇骏 2018款 2.5L CVT豪华版 4WD
自动,东莞,18.70万公里,4.88,10年8个月,国四,日产-天籁 2011款 2.0L XL舒适版
,,,,,,
,,,,,,
,,,,,,
,,,,,,
自动,北京,22.41万公里,4.50,12年5个月,国四,日产-天籁 2006款 2.0L XL舒适版
自动,郑州,17.35万公里,13.00,5年11个月,国五,日产-楼兰 2015款 2.5L XL NAVI 两驱智享版
,,,,,,
,,,,,,
,,,,,,
自动,克拉玛依,3.84万公里,10.50,2年9个月,国六,日产-轩逸 2020款 1.7L XL CVT悦享版
,,,,,,
,,,,,,
,,,,,,
自动,北京,3.51万公里,8.60,3年1个月,国六,日产-骐达TIIDA 2019款 1.7L CVT智享版
自动,北京,13.21万公里,12.00,8年,国四,日产-奇骏 2014款 2.5L CVT至尊版 4WD
自动,无锡,4.85万公里,7.00,4年7个月,国五,日产-蓝鸟 2017款 1.7L CVT炫酷版
,,,,,,
自动,湛江,9.09万公里,9.00,6年9个月,国五,日产-天籁 2013款 2.0L XL舒适版
,,,,,,
,,,,,,
,,,,,,
自动,广州,1.11万公里,15.00,1年3个月,国六,日产-天籁 2021款 2.0L XL 舒适版
自动,绍兴,3.34万公里,3.98,11年1个月,国四,日产-骐达TIIDA 2006款 1.7L 自动智能型
自动,玉林,4.01万公里,7.80,3年5个月,国五,日产-劲客 2019款 1.5L CVT智联豪华版
,,,,,,
,,,,,,
,,,,,,
自动,大连,12.40万公里,3.90,13年8个月,国四,日产-逍客 2006款 20X雷 CVT 2WD
自动,东莞,13.07万公里,7.68,9年4个月,国四,日产-奇骏 2012款 2.5L CVT旗舰版 4WD
,,,,,,
,,,,,,
,,,,,,
自动,东莞,17.83万公里,3.28,13年4个月,国四,日产-骐达TIIDA 2006款 1.7L 自动智能型
自动,北京,3.47万公里,12.00,2年4个月,国五,日产-纳瓦拉 2018款 2.5L自动两驱豪华版QR25
自动,珠海,7.00万公里,11.98,3年9个月,国五,日产-天籁 2016款 2.0L XL 智进版
,,,,,,
,,,,,,
自动,昆明,7.08万公里,41.00,3年4个月,国五,日产-途乐 2016款 4.0L （平行进口车）
,,,,,,
自动,北京,5.88万公里,45.90,2年6个月,国五,日产-途乐 2016款 4.0L （平行进口车）
手动,东莞,10.29万公里,3.38,10年6个月,国四,日产-日产NV200 2011款 1.7L 232座 尊雅型
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
自动,郑州,5.57万公里,8.88,3年4个月,国五,日产-轩逸 2019款 1.7XV CVT智联尊享版
,,,,,,
,,,,,,
,,,,,,
,,,,,,
自动,天津,7.35万公里,14.80,1年1个月,国六,日产-天籁 2021款 2.0L XL 舒适版
,,,,,,
,,,,,,
自动,自贡,4.63万公里,4.00,7年2个月,国四,日产-阳光 2014款 1.5XE CVT精英版
,,,,,,
自动,临沧,11.38万公里,3.98,10年6个月,国四,日产-骐达TIIDA 2011款 1.7L CVT智能型
自动,东莞,7.62万公里,11.28,5年1个月,国五,日产-天籁 2017款 2.0L XE 时尚版
自动,郑州,14.76万公里,9.80,6年4个月,国五,日产-天籁 2013款 2.5L XL领先版
自动,天津,8.75万公里,13.50,4年4个月,国五,日产-奇骏 2018款 2.0L CVT舒适版 2WD
手动,惠州,5.57万公里,5.28,3年5个月,国五,日产-轩逸 2016款 经典 1.7XE 手动舒适版
自动,郑州,7.62万公里,36.50,5年2个月,国五,日产-途乐 2018款 4.0L （平行进口车）
,,,,,,
,,,,,,
自动,郑州,1.23万公里,15.60,1年3个月,国六,日产-天籁 2021款 2.0L XL 舒适版
,,,,,,
,,,,,,
自动,淄博,14.40万公里,3.60,12年4个月,国四,日产-天籁 2006款 公爵 2.5L XV尊雅版
自动,株洲,0.85万公里,11.98,1年4个月,国六,日产-轩逸 2021款 1.7L XL CVT悦享版
自动,抚顺,9.49万公里,3.58,9年,国四,日产-阳光 2011款 1.5XE CVT舒适版
,,,,,,
