2022-05-27 19:00:51
Epoch=1, loss=2.907978, r2=-1.961060
Epoch=2, loss=1.108088, r2=-0.142280
Epoch=3, loss=0.977214, r2=0.025290
Epoch=4, loss=0.860317, r2=0.132841
Epoch=5, loss=0.790003, r2=0.212705
Epoch=6, loss=0.658795, r2=0.248238
Epoch=7, loss=0.613527, r2=0.298051
Epoch=8, loss=0.716992, r2=0.318467
Epoch=9, loss=0.684810, r2=0.355857
Epoch=10, loss=0.677034, r2=0.364810
Epoch=11, loss=0.655909, r2=0.364673
Epoch=12, loss=0.642461, r2=0.390814
Epoch=13, loss=0.644476, r2=0.357205
Epoch=14, loss=0.608428, r2=0.405620
Epoch=15, loss=0.561098, r2=0.442858
Epoch=16, loss=0.576163, r2=0.423027
Epoch=17, loss=0.620992, r2=0.339206
Epoch=18, loss=0.616786, r2=0.435554
Epoch=19, loss=0.568336, r2=0.470809
Epoch=20, loss=0.538237, r2=0.472992
Epoch=21, loss=0.566271, r2=0.454681
Epoch=22, loss=0.491375, r2=0.489600
Epoch=23, loss=0.454160, r2=0.521029
Epoch=24, loss=0.470302, r2=0.501332
Epoch=25, loss=0.494443, r2=0.494308
Epoch=26, loss=0.495807, r2=0.508262
Epoch=27, loss=0.443543, r2=0.525792
Epoch=28, loss=0.481680, r2=0.497816
Epoch=29, loss=0.516372, r2=0.496101
Epoch=30, loss=0.506464, r2=0.529182
Epoch=31, loss=0.490011, r2=0.500235
Epoch=32, loss=0.472192, r2=0.548372
Epoch=33, loss=0.469632, r2=0.533617
Epoch=34, loss=0.430355, r2=0.546619
Epoch=35, loss=0.418240, r2=0.559762
Epoch=36, loss=0.491244, r2=0.529812
Epoch=37, loss=0.410843, r2=0.557305
Epoch=38, loss=0.453681, r2=0.538102
Epoch=39, loss=0.467664, r2=0.536250
Epoch=40, loss=0.455467, r2=0.565784
Epoch=41, loss=0.446336, r2=0.561692
Epoch=42, loss=0.403067, r2=0.566703
Epoch=43, loss=0.406428, r2=0.567596
Epoch=44, loss=0.446241, r2=0.531840
Epoch=45, loss=0.458259, r2=0.556551
Epoch=46, loss=0.409592, r2=0.564940
Epoch=47, loss=0.396567, r2=0.570738
Epoch=48, loss=0.397684, r2=0.566508
Epoch=49, loss=0.414279, r2=0.572670
Epoch=50, loss=0.463381, r2=0.553988
Epoch=51, loss=0.430737, r2=0.549987
Epoch=52, loss=0.435850, r2=0.567768
Epoch=53, loss=0.379024, r2=0.595275
Epoch=54, loss=0.396683, r2=0.597611
Epoch=55, loss=0.392549, r2=0.573687
Epoch=56, loss=0.375326, r2=0.589151
Epoch=57, loss=0.367025, r2=0.607227
Epoch=58, loss=0.366340, r2=0.600933
Epoch=59, loss=0.424383, r2=0.568774
Epoch=60, loss=0.391579, r2=0.581561
Epoch=61, loss=0.414327, r2=0.587582
Epoch=62, loss=0.448911, r2=0.516689
Epoch=63, loss=0.356789, r2=0.618210
Epoch=64, loss=0.418554, r2=0.556712
Epoch=65, loss=0.435538, r2=0.585208
Epoch=66, loss=0.400143, r2=0.581230
Epoch=67, loss=0.386007, r2=0.582586
Epoch=68, loss=0.366120, r2=0.607599
Epoch=69, loss=0.359336, r2=0.604621
Epoch=70, loss=0.374014, r2=0.606764
Epoch=71, loss=0.385579, r2=0.607491
Epoch=72, loss=0.387863, r2=0.586363
Epoch=73, loss=0.351650, r2=0.616211
Epoch=74, loss=0.414184, r2=0.583401
Epoch=75, loss=0.353890, r2=0.602834
Epoch=76, loss=0.377956, r2=0.601706
Epoch=77, loss=0.351739, r2=0.613160
Epoch=78, loss=0.364590, r2=0.615468
Epoch=79, loss=0.353706, r2=0.608823
Epoch=80, loss=0.391425, r2=0.603834
Epoch=81, loss=0.332664, r2=0.629539
Epoch=82, loss=0.354925, r2=0.609713
Epoch=83, loss=0.351354, r2=0.623983
Epoch=84, loss=0.396538, r2=0.582538
Epoch=85, loss=0.388923, r2=0.618583
Epoch=86, loss=0.386466, r2=0.583785
Epoch=87, loss=0.386171, r2=0.592225
Epoch=88, loss=0.361609, r2=0.609642
Epoch=89, loss=0.355467, r2=0.616621
Epoch=90, loss=0.381470, r2=0.611988
Epoch=91, loss=0.415084, r2=0.579057
Epoch=92, loss=0.372834, r2=0.608970
Epoch=93, loss=0.372768, r2=0.616247
Epoch=94, loss=0.365619, r2=0.615427
Epoch=95, loss=0.338257, r2=0.618889
Epoch=96, loss=0.364258, r2=0.616195
Epoch=97, loss=0.352047, r2=0.619289
Epoch=98, loss=0.352347, r2=0.617346
Epoch=99, loss=0.355323, r2=0.618552
Epoch=100, loss=0.338058, r2=0.628942
