2022-05-27 15:19:46
Epoch=1, loss=1.510458, r2=-0.604781
Epoch=2, loss=1.007149, r2=-0.026490
Epoch=3, loss=0.891400, r2=0.117645
Epoch=4, loss=0.821674, r2=0.192874
Epoch=5, loss=0.786521, r2=0.238264
Epoch=6, loss=0.620518, r2=0.278146
Epoch=7, loss=0.740193, r2=0.285831
Epoch=8, loss=0.721700, r2=0.311790
Epoch=9, loss=0.710412, r2=0.323032
Epoch=10, loss=0.704767, r2=0.325773
Epoch=11, loss=0.697034, r2=0.330427
Epoch=12, loss=0.675521, r2=0.357285
Epoch=13, loss=0.683617, r2=0.341637
Epoch=14, loss=0.669209, r2=0.362534
Epoch=15, loss=0.658891, r2=0.364709
Epoch=16, loss=0.523217, r2=0.381069
Epoch=17, loss=0.657678, r2=0.376832
Epoch=18, loss=0.630040, r2=0.390036
Epoch=19, loss=0.649602, r2=0.387479
Epoch=20, loss=0.632630, r2=0.393344
Epoch=21, loss=0.628630, r2=0.402032
Epoch=22, loss=0.614733, r2=0.403493
Epoch=23, loss=0.639015, r2=0.395155
Epoch=24, loss=0.631749, r2=0.387934
Epoch=25, loss=0.624286, r2=0.397736
Epoch=26, loss=0.595908, r2=0.410118
Epoch=27, loss=0.609823, r2=0.395365
Epoch=28, loss=0.625228, r2=0.396189
Epoch=29, loss=0.587648, r2=0.413652
Epoch=30, loss=0.588679, r2=0.419510
Epoch=31, loss=0.561611, r2=0.413031
Epoch=32, loss=0.591915, r2=0.413544
Epoch=33, loss=0.567266, r2=0.423429
Epoch=34, loss=0.534127, r2=0.427005
Epoch=35, loss=0.611327, r2=0.417924
Epoch=36, loss=0.518108, r2=0.444919
Epoch=37, loss=0.521093, r2=0.432451
Epoch=38, loss=0.543955, r2=0.423144
Epoch=39, loss=0.600998, r2=0.427151
Epoch=40, loss=0.513792, r2=0.431830
Epoch=41, loss=0.542246, r2=0.418668
Epoch=42, loss=0.528772, r2=0.440397
Epoch=43, loss=0.577966, r2=0.432055
Epoch=44, loss=0.545718, r2=0.427146
Epoch=45, loss=0.584626, r2=0.437434
Epoch=46, loss=0.602977, r2=0.425173
Epoch=47, loss=0.570095, r2=0.422976
Epoch=48, loss=0.494325, r2=0.450387
Epoch=49, loss=0.522126, r2=0.435947
Epoch=50, loss=0.580967, r2=0.420480
Epoch=51, loss=0.525747, r2=0.424294
Epoch=52, loss=0.529384, r2=0.441693
Epoch=53, loss=0.511403, r2=0.434677
Epoch=54, loss=0.505309, r2=0.451156
Epoch=55, loss=0.500505, r2=0.452895
Epoch=56, loss=0.488004, r2=0.438783
Epoch=57, loss=0.501574, r2=0.450300
Epoch=58, loss=0.479656, r2=0.456902
Epoch=59, loss=0.592308, r2=0.415633
Epoch=60, loss=0.508286, r2=0.446146
Epoch=61, loss=0.482412, r2=0.458035
Epoch=62, loss=0.552758, r2=0.434933
Epoch=63, loss=0.529785, r2=0.446478
Epoch=64, loss=0.611613, r2=0.411434
Epoch=65, loss=0.494760, r2=0.459114
Epoch=66, loss=0.481509, r2=0.460085
Epoch=67, loss=0.486009, r2=0.450649
Epoch=68, loss=0.508332, r2=0.463398
Epoch=69, loss=0.466938, r2=0.469883
Epoch=70, loss=0.479002, r2=0.457068
Epoch=71, loss=0.486238, r2=0.455781
Epoch=72, loss=0.500709, r2=0.453067
Epoch=73, loss=0.561661, r2=0.439950
Epoch=74, loss=0.512528, r2=0.442903
Epoch=75, loss=0.494665, r2=0.457793
Epoch=76, loss=0.479739, r2=0.464635
Epoch=77, loss=0.482720, r2=0.453496
Epoch=78, loss=0.492325, r2=0.460492
Epoch=79, loss=0.525343, r2=0.446964
Epoch=80, loss=0.499872, r2=0.440081
Epoch=81, loss=0.469872, r2=0.475609
Epoch=82, loss=0.488153, r2=0.461397
Epoch=83, loss=0.471823, r2=0.471165
Epoch=84, loss=0.488206, r2=0.462850
Epoch=85, loss=0.481984, r2=0.459577
Epoch=86, loss=0.532623, r2=0.443382
Epoch=87, loss=0.487522, r2=0.456866
Epoch=88, loss=0.487785, r2=0.458701
Epoch=89, loss=0.528936, r2=0.429842
Epoch=90, loss=0.476925, r2=0.459957
Epoch=91, loss=0.475483, r2=0.474873
Epoch=92, loss=0.476228, r2=0.470637
Epoch=93, loss=0.472895, r2=0.475872
Epoch=94, loss=0.478656, r2=0.466577
Epoch=95, loss=0.472602, r2=0.473579
Epoch=96, loss=0.488192, r2=0.456580
Epoch=97, loss=0.490775, r2=0.451655
Epoch=98, loss=0.478948, r2=0.460423
Epoch=99, loss=0.474322, r2=0.471771
Epoch=100, loss=0.497410, r2=0.454610
